frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784064790.667151008","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064790.882169776","127.0.0.1","127.0.0.1","57668","34719","120","0x0018"
"1784064790.883692992","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064790.883719237","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064790.890069320","127.0.0.1","127.0.0.1","57668","34719","167","0x0018"
"1784064790.891444787","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064790.904314013","127.0.0.1","127.0.0.1","57662","34719","284","0x0018"
"1784064790.904396447","127.0.0.1","127.0.0.1","57668","34719","179","0x0018"
"1784064790.905771016","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064790.905866416","127.0.0.1","127.0.0.1","34719","57662","996","0x0018"
"1784064790.905880735","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064790.951159452","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064791.048591625","127.0.0.1","127.0.0.1","57662","34719","342","0x0018"
"1784064791.050079270","127.0.0.1","127.0.0.1","34719","57662","175","0x0018"
"1784064791.050096516","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064791.051402824","127.0.0.1","127.0.0.1","57662","34719","345","0x0018"
"1784064791.052829418","127.0.0.1","127.0.0.1","34719","57662","326","0x0018"
"1784064791.057539331","127.0.0.1","127.0.0.1","57662","34719","542","0x0018"
"1784064791.059020124","127.0.0.1","127.0.0.1","34719","57662","282","0x0018"
"1784064791.059903690","127.0.0.1","127.0.0.1","57662","34719","548","0x0018"
"1784064791.061416963","127.0.0.1","127.0.0.1","34719","57662","352","0x0018"
"1784064791.063758947","127.0.0.1","127.0.0.1","57662","34719","594","0x0018"
"1784064791.065137991","127.0.0.1","127.0.0.1","34719","57662","282","0x0018"
"1784064791.066409051","127.0.0.1","127.0.0.1","57662","34719","600","0x0018"
"1784064791.067701838","127.0.0.1","127.0.0.1","34719","57662","318","0x0018"
"1784064791.111150735","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064791.127000051","127.0.0.1","127.0.0.1","57662","34719","136","0x0018"
"1784064791.128495995","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784064791.128515383","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064791.545198675","127.0.0.1","127.0.0.1","34719","57668","340","0x0018"
"1784064791.545223652","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064791.546830799","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784064791.562053281","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784064791.563216784","127.0.0.1","127.0.0.1","34719","57668","133","0x0018"
"1784064791.563269278","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064791.563448457","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784064791.564836468","127.0.0.1","127.0.0.1","34719","57668","6118","0x0018"
"1784064791.564864399","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784064791.566539408","127.0.0.1","127.0.0.1","57662","34719","1056","0x0018"
"1784064791.568177660","127.0.0.1","127.0.0.1","34719","57662","114","0x0018"
"1784064791.568192843","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064791.607202321","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064791.607213415","127.0.0.1","127.0.0.1","57668","34719","5049","0x0018"
"1784064791.607229477","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064791.608885895","127.0.0.1","127.0.0.1","34719","57668","2327","0x0018"
"1784064791.651193806","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064791.667359276","127.0.0.1","127.0.0.1","34719","57668","631","0x0018"
"1784064791.667412935","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064791.668551044","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784064791.711130689","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064791.866116568","127.0.0.1","127.0.0.1","34719","57668","111","0x0018"
"1784064791.892705958","127.0.0.1","127.0.0.1","57668","34719","130","0x0018"
"1784064791.892733876","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064791.893159089","127.0.0.1","127.0.0.1","57668","34719","845","0x0018"
"1784064791.893181620","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064791.893197385","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784064791.893199060","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064791.893506691","127.0.0.1","127.0.0.1","34719","57668","242","0x0018"
"1784064791.894312891","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784064791.899333182","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784064791.900260783","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784064791.900398539","127.0.0.1","127.0.0.1","34719","57668","685","0x0018"
"1784064791.901225376","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784064791.943193869","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064791.994182085","127.0.0.1","127.0.0.1","57668","34719","156","0x0018"
"1784064791.994182308","127.0.0.1","127.0.0.1","57662","34719","233","0x0018"
"1784064791.994214111","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064791.995608122","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064791.995877389","127.0.0.1","127.0.0.1","34719","57662","896","0x0018"
"1784064791.995894071","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064791.997030167","127.0.0.1","127.0.0.1","57662","34719","261","0x0018"
"1784064791.998496789","127.0.0.1","127.0.0.1","34719","57662","950","0x0018"
"1784064792.026152526","127.0.0.1","127.0.0.1","57662","34719","291","0x0018"
"1784064792.026152780","127.0.0.1","127.0.0.1","57668","34719","186","0x0018"
