frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065131.434523619","127.0.0.1","127.0.0.1","57668","34719","507","0x0018"
"1784065131.434585265","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065131.436391471","127.0.0.1","127.0.0.1","34719","57668","142","0x0018"
"1784065131.478149977","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065131.685121431","127.0.0.1","127.0.0.1","57662","34719","136","0x0018"
"1784065131.687006689","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065131.687060722","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065131.724118977","127.0.0.1","127.0.0.1","57668","34719","120","0x0018"
"1784065131.724253850","127.0.0.1","127.0.0.1","57662","34719","224","0x0018"
"1784065131.725677122","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065131.725698212","127.0.0.1","127.0.0.1","57668","34719","167","0x0018"
"1784065131.726007247","127.0.0.1","127.0.0.1","34719","57662","878","0x0018"
"1784065131.726993768","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065131.749057263","127.0.0.1","127.0.0.1","57668","34719","179","0x0018"
"1784065131.749063582","127.0.0.1","127.0.0.1","57662","34719","284","0x0018"
"1784065131.750572414","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065131.750602582","127.0.0.1","127.0.0.1","34719","57662","996","0x0018"
"1784065131.762967990","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065131.764539089","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065131.768921610","127.0.0.1","127.0.0.1","57662","34719","342","0x0018"
"1784065131.770276159","127.0.0.1","127.0.0.1","34719","57662","175","0x0018"
"1784065131.771262286","127.0.0.1","127.0.0.1","57662","34719","345","0x0018"
"1784065131.772716985","127.0.0.1","127.0.0.1","34719","57662","326","0x0018"
"1784065131.775436218","127.0.0.1","127.0.0.1","57662","34719","542","0x0018"
"1784065131.776828645","127.0.0.1","127.0.0.1","34719","57662","282","0x0018"
"1784065131.777843491","127.0.0.1","127.0.0.1","57662","34719","548","0x0018"
"1784065131.779193075","127.0.0.1","127.0.0.1","34719","57662","352","0x0018"
"1784065131.781435046","127.0.0.1","127.0.0.1","57662","34719","602","0x0018"
"1784065131.782704417","127.0.0.1","127.0.0.1","34719","57662","282","0x0018"
"1784065131.787617488","127.0.0.1","127.0.0.1","57668","34719","164","0x0018"
"1784065131.787617677","127.0.0.1","127.0.0.1","57662","34719","608","0x0018"
"1784065131.787991571","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065131.789515776","127.0.0.1","127.0.0.1","34719","57662","318","0x0018"
"1784065131.830121899","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065131.830130359","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065132.213807089","127.0.0.1","127.0.0.1","57668","34719","150","0x0018"
"1784065132.215358959","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065132.215376434","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065132.262526373","127.0.0.1","127.0.0.1","57668","34719","120","0x0018"
"1784065132.263925848","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065132.263944512","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065132.272641484","127.0.0.1","127.0.0.1","34719","57668","340","0x0018"
"1784065132.272667448","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065132.274030384","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065132.290718647","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784065132.290743244","127.0.0.1","127.0.0.1","57668","34719","167","0x0018"
"1784065132.292013231","127.0.0.1","127.0.0.1","34719","57668","175","0x0018"
"1784065132.292030334","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065132.293556607","127.0.0.1","127.0.0.1","34719","57668","6117","0x0018"
"1784065132.293576277","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065132.295773602","127.0.0.1","127.0.0.1","57662","34719","1056","0x0018"
"1784065132.297355340","127.0.0.1","127.0.0.1","34719","57662","114","0x0018"
"1784065132.297377436","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065132.334031063","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065132.334066107","127.0.0.1","127.0.0.1","57668","34719","5049","0x0018"
"1784065132.334080146","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065132.336112020","127.0.0.1","127.0.0.1","34719","57668","2327","0x0018"
"1784065132.341282573","127.0.0.1","127.0.0.1","57668","34719","179","0x0018"
"1784065132.342713930","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065132.372377101","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065132.373804693","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065132.396154724","127.0.0.1","127.0.0.1","34719","57668","631","0x0018"
"1784065132.396242632","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065132.397472220","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
