frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065388.867105965","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065389.068346286","127.0.0.1","127.0.0.1","34719","57662","83","0x0018"
"1784065389.068375345","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065389.115225211","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065389.116670806","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065389.116686329","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065389.139803254","127.0.0.1","127.0.0.1","57668","34719","164","0x0018"
"1784065389.139821809","127.0.0.1","127.0.0.1","57662","34719","269","0x0018"
"1784065389.141293615","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065389.141424667","127.0.0.1","127.0.0.1","34719","57662","966","0x0018"
"1784065389.141440004","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065389.174511347","127.0.0.1","127.0.0.1","57662","34719","255","0x0018"
"1784065389.174511474","127.0.0.1","127.0.0.1","57668","34719","150","0x0018"
"1784065389.175967101","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065389.176038367","127.0.0.1","127.0.0.1","34719","57662","938","0x0018"
"1784065389.202798366","127.0.0.1","127.0.0.1","57668","34719","120","0x0018"
"1784065389.204291044","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065389.219127165","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065389.222892644","127.0.0.1","127.0.0.1","57668","34719","167","0x0018"
"1784065389.224214778","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065389.244569748","127.0.0.1","127.0.0.1","57668","34719","179","0x0018"
"1784065389.244611903","127.0.0.1","127.0.0.1","57662","34719","284","0x0018"
"1784065389.245923496","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065389.246123387","127.0.0.1","127.0.0.1","34719","57662","996","0x0018"
"1784065389.246139577","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065389.257896760","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065389.259275805","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065389.274934457","127.0.0.1","127.0.0.1","57668","34719","164","0x0018"
"1784065389.276406542","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065389.282573415","127.0.0.1","127.0.0.1","57662","34719","136","0x0018"
"1784065389.283030860","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065389.319042894","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065389.327034262","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065389.480895430","127.0.0.1","127.0.0.1","34719","57668","83","0x0018"
"1784065389.480983998","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065389.774811444","4.150.223.111","172.18.203.227","443","37180","68","0x0010"
"1784065389.774832784","172.18.203.227","4.150.223.111","37180","443","68","0x0010"
"1784065389.782067210","127.0.0.1","127.0.0.1","34719","57668","340","0x0018"
"1784065389.782088918","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065389.783397224","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065389.800730107","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784065389.802050949","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065389.803450080","127.0.0.1","127.0.0.1","34719","57668","6374","0x0018"
"1784065389.804932949","127.0.0.1","127.0.0.1","57668","34719","724","0x0018"
"1784065389.804992794","127.0.0.1","127.0.0.1","57662","34719","1056","0x0018"
"1784065389.806785221","127.0.0.1","127.0.0.1","34719","57662","114","0x0018"
"1784065389.806813119","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065389.847053876","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065389.847066274","127.0.0.1","127.0.0.1","57668","34719","4682","0x0018"
"1784065389.847090613","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065389.848430224","127.0.0.1","127.0.0.1","34719","57668","2489","0x0018"
"1784065389.891063914","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065389.905204508","127.0.0.1","127.0.0.1","34719","57668","1703","0x0018"
"1784065389.905303661","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065389.906649796","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065389.947034953","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065390.105271285","127.0.0.1","127.0.0.1","34719","57668","111","0x0018"
"1784065390.106659253","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065390.106674593","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065390.106862141","127.0.0.1","127.0.0.1","57668","34719","815","0x0018"
"1784065390.106875107","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065390.108365381","127.0.0.1","127.0.0.1","34719","57668","206","0x0018"
"1784065390.109213639","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065390.114572015","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784065390.115109489","127.0.0.1","127.0.0.1","34719","57668","96","0x0018"
"1784065390.115159166","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065390.116498257","127.0.0.1","127.0.0.1","34719","57668","639","0x0018"
"1784065390.120381264","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065390.163049026","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065390.163064385","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065390.163080473","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065390.218230844","127.0.0.1","127.0.0.1","57668","34719","130","0x0018"
"1784065390.218253947","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065390.219656011","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065390.263061075","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065390.386484159","127.0.0.1","127.0.0.1","57668","34719","156","0x0018"
"1784065390.386524004","127.0.0.1","127.0.0.1","57662","34719","233","0x0018"
"1784065390.387960213","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065390.388010451","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065390.388100119","127.0.0.1","127.0.0.1","34719","57662","896","0x0018"
