timestamp,component_id,cpu_pct,mem_pct
2026-07-14T21:43:11.923155+00:00,lb-01,0.13,0.18
2026-07-14T21:43:11.923155+00:00,web-01,0.14,0.17
2026-07-14T21:43:11.923155+00:00,app-01,0.3,0.21
2026-07-14T21:43:11.923155+00:00,db-01,0.63,8.48
2026-07-14T21:43:15.991484+00:00,lb-01,11.58,0.27
2026-07-14T21:43:15.991484+00:00,web-01,3.83,0.24
2026-07-14T21:43:15.991484+00:00,app-01,10.41,0.21
2026-07-14T21:43:15.991484+00:00,db-01,4.62,8.48
2026-07-14T21:43:20.062438+00:00,lb-01,0.46,0.19
2026-07-14T21:43:20.062438+00:00,web-01,0.23,0.18
2026-07-14T21:43:20.062438+00:00,app-01,0.66,0.21
2026-07-14T21:43:20.062438+00:00,db-01,0.61,8.48
2026-07-14T21:43:24.123482+00:00,lb-01,0.33,0.18
2026-07-14T21:43:24.123482+00:00,web-01,0.35,0.18
2026-07-14T21:43:24.123482+00:00,app-01,0.85,0.21
2026-07-14T21:43:24.123482+00:00,db-01,0.83,8.48
2026-07-14T21:43:27.796661+00:00,lb-01,0.15,0.18
2026-07-14T21:43:27.796661+00:00,web-01,0.14,0.18
2026-07-14T21:43:27.796661+00:00,app-01,0.4,0.21
2026-07-14T21:43:27.796661+00:00,db-01,0.48,8.48
2026-07-14T21:43:31.852944+00:00,lb-01,0.19,0.18
2026-07-14T21:43:31.852944+00:00,web-01,0.15,0.18
2026-07-14T21:43:31.852944+00:00,app-01,0.38,0.21
2026-07-14T21:43:31.852944+00:00,db-01,1.19,8.48
2026-07-14T21:43:35.929965+00:00,lb-01,0.15,0.18
2026-07-14T21:43:35.929965+00:00,web-01,0.17,0.18
2026-07-14T21:43:35.929965+00:00,app-01,0.37,0.21
2026-07-14T21:43:35.929965+00:00,db-01,0.88,8.48
2026-07-14T21:43:40.002795+00:00,lb-01,0.16,0.18
2026-07-14T21:43:40.002795+00:00,web-01,0.14,0.18
2026-07-14T21:43:40.002795+00:00,app-01,0.36,0.22
2026-07-14T21:43:40.002795+00:00,db-01,0.89,8.49
2026-07-14T21:43:44.078280+00:00,lb-01,0.24,0.18
2026-07-14T21:43:44.078280+00:00,web-01,0.26,0.18
2026-07-14T21:43:44.078280+00:00,app-01,0.65,0.21
2026-07-14T21:43:44.078280+00:00,db-01,0.82,8.48
2026-07-14T21:43:47.797955+00:00,lb-01,0.12,0.18
2026-07-14T21:43:47.797955+00:00,web-01,0.15,0.18
2026-07-14T21:43:47.797955+00:00,app-01,0.37,0.21
2026-07-14T21:43:47.797955+00:00,db-01,0.57,8.48
2026-07-14T21:43:51.852787+00:00,lb-01,0.16,0.18
2026-07-14T21:43:51.852787+00:00,web-01,0.15,0.18
2026-07-14T21:43:51.852787+00:00,app-01,0.36,0.21
2026-07-14T21:43:51.852787+00:00,db-01,0.96,8.48
2026-07-14T21:43:55.924449+00:00,lb-01,0.13,0.18
2026-07-14T21:43:55.924449+00:00,web-01,0.14,0.18
2026-07-14T21:43:55.924449+00:00,app-01,0.34,0.21
2026-07-14T21:43:55.924449+00:00,db-01,0.49,8.48
2026-07-14T21:43:59.986882+00:00,lb-01,0.17,0.18
2026-07-14T21:43:59.986882+00:00,web-01,0.15,0.18
2026-07-14T21:43:59.986882+00:00,app-01,0.35,0.21
2026-07-14T21:43:59.986882+00:00,db-01,1.03,8.47
2026-07-14T21:44:04.052364+00:00,lb-01,0.18,0.18
2026-07-14T21:44:04.052364+00:00,web-01,0.14,0.18
2026-07-14T21:44:04.052364+00:00,app-01,0.35,0.21
2026-07-14T21:44:04.052364+00:00,db-01,1.02,8.47
2026-07-14T21:44:07.825172+00:00,lb-01,0.13,0.18
2026-07-14T21:44:07.825172+00:00,web-01,0.11,0.18
2026-07-14T21:44:07.825172+00:00,app-01,0.38,0.21
2026-07-14T21:44:07.825172+00:00,db-01,0.67,8.47
2026-07-14T21:44:11.885441+00:00,lb-01,0.15,0.18
2026-07-14T21:44:11.885441+00:00,web-01,0.13,0.17
2026-07-14T21:44:11.885441+00:00,app-01,0.34,0.21
2026-07-14T21:44:11.885441+00:00,db-01,0.63,8.47
