frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065064.923695191","127.0.0.1","127.0.0.1","57668","34719","188","0x0018"
"1784065064.923720119","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065064.924043568","127.0.0.1","127.0.0.1","34719","57668","142","0x0018"
"1784065064.933739347","185.125.190.57","172.18.203.227",,,"92",
"1784064946.528256739","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064946.697073870","127.0.0.1","127.0.0.1","57668","34719","150","0x0018"
"1784064946.698512772","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064946.698529893","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064946.720007041","127.0.0.1","127.0.0.1","57668","34719","120","0x0018"
"1784064946.721434349","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064946.734366075","127.0.0.1","127.0.0.1","57668","34719","167","0x0018"
"1784064946.734396331","127.0.0.1","127.0.0.1","57662","34719","272","0x0018"
"1784064946.735696354","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064946.735867024","127.0.0.1","127.0.0.1","34719","57662","972","0x0018"
"1784064946.735882445","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064946.747890341","127.0.0.1","127.0.0.1","57668","34719","179","0x0018"
"1784064946.749223074","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064946.761643019","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784064946.762947533","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064946.779059984","127.0.0.1","127.0.0.1","57668","34719","164","0x0018"
"1784064946.779069778","127.0.0.1","127.0.0.1","57662","34719","269","0x0018"
"1784064946.779283930","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064946.780628452","127.0.0.1","127.0.0.1","34719","57662","966","0x0018"
"1784064946.780647747","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064946.820388251","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064946.901143079","127.0.0.1","127.0.0.1","57662","34719","342","0x0018"
"1784064946.902624337","127.0.0.1","127.0.0.1","34719","57662","175","0x0018"
"1784064946.902636178","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064946.903886830","127.0.0.1","127.0.0.1","57662","34719","345","0x0018"
"1784064946.905276432","127.0.0.1","127.0.0.1","34719","57662","326","0x0018"
"1784064946.908318422","127.0.0.1","127.0.0.1","57662","34719","542","0x0018"
"1784064946.909657560","127.0.0.1","127.0.0.1","34719","57662","282","0x0018"
"1784064946.910557661","127.0.0.1","127.0.0.1","57662","34719","548","0x0018"
"1784064946.911891715","127.0.0.1","127.0.0.1","34719","57662","352","0x0018"
"1784064946.915416752","127.0.0.1","127.0.0.1","57662","34719","586","0x0018"
"1784064946.916839869","127.0.0.1","127.0.0.1","34719","57662","282","0x0018"
"1784064946.917891866","127.0.0.1","127.0.0.1","57662","34719","592","0x0018"
"1784064946.919334438","127.0.0.1","127.0.0.1","34719","57662","318","0x0018"
"1784064946.960384645","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064946.984333276","127.0.0.1","127.0.0.1","57662","34719","136","0x0018"
"1784064946.986112050","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784064946.986130446","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064947.402466335","127.0.0.1","127.0.0.1","34719","57668","340","0x0018"
"1784064947.402492466","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064947.404116004","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784064947.420123003","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784064947.421533546","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784064947.422114606","127.0.0.1","127.0.0.1","34719","57668","6183","0x0018"
"1784064947.424099989","127.0.0.1","127.0.0.1","57668","34719","4856","0x0018"
"1784064947.424149686","127.0.0.1","127.0.0.1","57662","34719","1056","0x0018"
"1784064947.425678923","127.0.0.1","127.0.0.1","34719","57662","114","0x0018"
"1784064947.425698954","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064947.464347893","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064947.464376699","127.0.0.1","127.0.0.1","57668","34719","297","0x0018"
"1784064947.464437889","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064947.466113622","127.0.0.1","127.0.0.1","34719","57668","2327","0x0018"
"1784064947.508308107","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064947.523932536","127.0.0.1","127.0.0.1","34719","57668","631","0x0018"
"1784064947.523986324","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064947.525751286","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784064947.568323766","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064947.568336867","127.0.0.1","127.0.0.1","57668","34719","130","0x0018"
"1784064947.568359033","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064947.569705787","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784064947.612397865","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064947.722769167","127.0.0.1","127.0.0.1","34719","57668","111","0x0018"
"1784064947.722821480","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064947.724257472","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784064947.768292948","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064947.768303908","127.0.0.1","127.0.0.1","57668","34719","899","0x0018"
"1784064947.768322487","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064947.769830037","127.0.0.1","127.0.0.1","34719","57668","206","0x0018"
"1784064947.771071946","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784064947.776008264","127.0.0.1","127.0.0.1","34719","57668","252","0x0018"
"1784064947.777350227","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784064947.777484297","127.0.0.1","127.0.0.1","34719","57668","695","0x0018"
"1784064947.778572539","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784064947.786271395","127.0.0.1","127.0.0.1","57662","34719","233","0x0018"
"1784064947.787878848","127.0.0.1","127.0.0.1","34719","57662","896","0x0018"
"1784064947.787898043","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064947.789258736","127.0.0.1","127.0.0.1","57662","34719","261","0x0018"
"1784064947.790895801","127.0.0.1","127.0.0.1","34719","57662","950","0x0018"
"1784064947.817148381","127.0.0.1","127.0.0.1","57662","34719","241","0x0018"
"1784064947.818693305","127.0.0.1","127.0.0.1","34719","57662","912","0x0018"
"1784064947.820261904","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064947.820267626","127.0.0.1","127.0.0.1","57668","34719","229","0x0018"
"1784064947.820283890","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064947.821690297","127.0.0.1","127.0.0.1","34719","57668","154","0x0018"
"1784064947.847890578","127.0.0.1","127.0.0.1","57662","34719","247","0x0018"
"1784064947.847890721","127.0.0.1","127.0.0.1","57668","34719","147","0x0018"
"1784064947.849440418","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064947.849448395","127.0.0.1","127.0.0.1","34719","57662","924","0x0018"
"1784064947.882469154","127.0.0.1","127.0.0.1","57662","34719","239","0x0018"
"1784064947.882524166","127.0.0.1","127.0.0.1","57668","34719","135","0x0018"
"1784064947.883983625","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064947.883994800","127.0.0.1","127.0.0.1","34719","57662","908","0x0018"
"1784064947.924313634","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064947.924313769","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064947.950369132","127.0.0.1","127.0.0.1","57668","34719","186","0x0018"
"1784064947.951726173","127.0.0.1","127.0.0.1","34719","57668","142","0x0018"
"1784064947.951808561","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064948.322461990","127.0.0.1","127.0.0.1","34719","57662","154","0x0018"
"1784064948.322483874","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064948.428878532","127.0.0.1","127.0.0.1","57662","34719","601","0x0018"
"1784064948.430490983","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784064948.430511654","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064948.683876115","127.0.0.1","127.0.0.1","57662","34719","87","0x0018"
"1784064948.724382967","127.0.0.1","127.0.0.1","34719","57662","68","0x0010"
"1784064948.776892182","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784064948.776959994","127.0.0.1","127.0.0.1","57662","34719","127","0x0018"
"1784064948.776974152","127.0.0.1","127.0.0.1","34719","57662","68","0x0010"
"1784064948.778419679","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784064948.778436919","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064948.778510983","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784064948.778527546","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064948.784167533","127.0.0.1","127.0.0.1","34719","57662","136","0x0018"
"1784064948.784183860","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064948.790639198","127.0.0.1","127.0.0.1","57668","34719","155","0x0018"
"1784064948.792083238","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784064948.810314871","127.0.0.1","127.0.0.1","57668","34719","87","0x0018"
"1784064948.852311374","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064949.031578988","127.0.0.1","127.0.0.1","57662","34719","125","0x0018"
"1784064949.031580665","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784064949.031604525","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064949.032956506","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784064949.033113649","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784064949.033127282","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.037992622","127.0.0.1","127.0.0.1","34719","57662","232","0x0018"
"1784064949.038014308","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.044988533","127.0.0.1","127.0.0.1","57668","34719","199","0x0018"
"1784064949.046341869","127.0.0.1","127.0.0.1","34719","57662","83","0x0018"
"1784064949.046373386","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.046448710","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784064949.046473499","127.0.0.1","127.0.0.1","57668","34719","250","0x0018"
"1784064949.047809896","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784064949.064661805","127.0.0.1","127.0.0.1","34719","57662","154","0x0018"
"1784064949.064683155","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.072448664","127.0.0.1","127.0.0.1","57668","34719","173","0x0018"
"1784064949.073948668","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784064949.083054219","127.0.0.1","127.0.0.1","34719","57662","209","0x0018"
"1784064949.083072469","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.086699253","127.0.0.1","127.0.0.1","57668","34719","188","0x0018"
"1784064949.088096635","127.0.0.1","127.0.0.1","34719","57668","142","0x0018"
"1784064949.116884126","127.0.0.1","127.0.0.1","57668","34719","184","0x0018"
"1784064949.118253312","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784064949.134884418","127.0.0.1","127.0.0.1","34719","57662","247","0x0018"
"1784064949.134909406","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.136454986","127.0.0.1","127.0.0.1","57668","34719","282","0x0018"
"1784064949.138192316","127.0.0.1","127.0.0.1","34719","57668","155","0x0018"
"1784064949.139044902","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784064949.180292104","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064949.457991327","127.0.0.1","127.0.0.1","34719","57668","83","0x0018"
"1784064949.500314278","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064949.523693207","127.0.0.1","127.0.0.1","57668","34719","183","0x0018"
"1784064949.523719990","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784064949.523746235","127.0.0.1","127.0.0.1","57662","34719","230","0x0018"
"1784064949.525573560","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064949.525612311","127.0.0.1","127.0.0.1","34719","57662","890","0x0018"
"1784064949.525614859","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064949.525648991","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.527494399","127.0.0.1","127.0.0.1","57662","34719","288","0x0018"
"1784064949.529067855","127.0.0.1","127.0.0.1","34719","57662","1004","0x0018"
"1784064949.530144103","127.0.0.1","127.0.0.1","57662","34719","235","0x0018"
"1784064949.531542450","127.0.0.1","127.0.0.1","34719","57662","900","0x0018"
"1784064949.532590763","127.0.0.1","127.0.0.1","57662","34719","223","0x0018"
"1784064949.533936387","127.0.0.1","127.0.0.1","34719","57662","876","0x0018"
"1784064949.534962519","127.0.0.1","127.0.0.1","57662","34719","229","0x0018"
"1784064949.536286705","127.0.0.1","127.0.0.1","34719","57662","175","0x0018"
"1784064949.573793104","127.0.0.1","127.0.0.1","57668","34719","135","0x0018"
"1784064949.575438345","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064949.575454680","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784064949.580285874","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.588143689","127.0.0.1","127.0.0.1","57662","34719","136","0x0018"
"1784064949.589711805","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784064949.589728584","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784064949.594465939","127.0.0.1","127.0.0.1","57668","34719","147","0x0018"
"1784064949.595853472","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784064949.608312162","127.0.0.1","127.0.0.1","57662","34719","241","0x0018"
"1784064949.608312381","127.0.0.1","127.0.0.1","57668","34719","209","0x0018"
"1784064949.609630592","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
