frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065769.709965472","185.125.190.57","172.18.203.227",,,"92",
"1784065651.519076277","127.0.0.1","127.0.0.1","57662","34719","136","0x0018"
"1784065651.521239518","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065651.521281179","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065651.600744824","127.0.0.1","127.0.0.1","57668","34719","150","0x0018"
"1784065651.600778140","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065651.602263818","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.640308934","127.0.0.1","127.0.0.1","57668","34719","120","0x0018"
"1784065651.641692010","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.668729198","127.0.0.1","127.0.0.1","57668","34719","167","0x0018"
"1784065651.668749262","127.0.0.1","127.0.0.1","57662","34719","272","0x0018"
"1784065651.670087712","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.670423231","127.0.0.1","127.0.0.1","34719","57662","972","0x0018"
"1784065651.670440173","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065651.688681600","127.0.0.1","127.0.0.1","57668","34719","179","0x0018"
"1784065651.690025020","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.702592502","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065651.703900738","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.720601628","127.0.0.1","127.0.0.1","57662","34719","269","0x0018"
"1784065651.720733054","127.0.0.1","127.0.0.1","57668","34719","164","0x0018"
"1784065651.722126675","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.722315905","127.0.0.1","127.0.0.1","34719","57662","966","0x0018"
"1784065651.722343790","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065651.724240609","127.0.0.1","127.0.0.1","57668","34719","150","0x0018"
"1784065651.725718242","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.737458606","127.0.0.1","127.0.0.1","57668","34719","120","0x0018"
"1784065651.738826229","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.751327917","127.0.0.1","127.0.0.1","57668","34719","167","0x0018"
"1784065651.752711057","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.765161489","127.0.0.1","127.0.0.1","57668","34719","179","0x0018"
"1784065651.766619092","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.786657596","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065651.788024147","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.829111665","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065651.831250486","127.0.0.1","127.0.0.1","57668","34719","164","0x0018"
"1784065651.832725274","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.832772379","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065651.952855817","127.0.0.1","127.0.0.1","57668","34719","150","0x0018"
"1784065651.954337401","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.954390666","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065651.994204597","127.0.0.1","127.0.0.1","57668","34719","120","0x0018"
"1784065651.995701112","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065651.995740798","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065652.059548175","127.0.0.1","127.0.0.1","34719","57668","340","0x0018"
"1784065652.059602947","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065652.061014136","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065652.079884401","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784065652.081214360","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065652.082373431","127.0.0.1","127.0.0.1","34719","57668","6374","0x0018"
"1784065652.083921896","127.0.0.1","127.0.0.1","57668","34719","5338","0x0018"
"1784065652.083955824","127.0.0.1","127.0.0.1","57662","34719","1056","0x0018"
"1784065652.085344245","127.0.0.1","127.0.0.1","34719","57668","2489","0x0018"
"1784065652.085448550","127.0.0.1","127.0.0.1","34719","57662","114","0x0018"
"1784065652.085464212","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065652.129107609","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065652.185184256","127.0.0.1","127.0.0.1","34719","57668","1703","0x0018"
"1784065652.185294199","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065652.188337764","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065652.229080689","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065652.383621758","127.0.0.1","127.0.0.1","34719","57668","111","0x0018"
"1784065652.384756966","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065652.384795407","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065652.389979542","127.0.0.1","127.0.0.1","57668","34719","899","0x0018"
"1784065652.390014305","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065652.391375110","127.0.0.1","127.0.0.1","34719","57668","206","0x0018"
"1784065652.392207267","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065652.396999761","127.0.0.1","127.0.0.1","34719","57668","252","0x0018"
"1784065652.398050727","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065652.398134879","127.0.0.1","127.0.0.1","34719","57668","695","0x0018"
"1784065652.399238137","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065652.441193715","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065652.476835405","127.0.0.1","127.0.0.1","57668","34719","130","0x0018"
